Cell lines,LCR ACTIVITY,P50_E,P52_E,P65_E,CREL_E,RELB_E,FRA1_E,FRA2_E,CFOS_E,FOSB_E,JUNB_E,JUND_E,CJUN_E,Y705_E,S727_E,STAT3_E,SOX2_E,SP1_E,GR_E,PR_E,CEBPB_E,TEF1_E,YY1_E,NF1_E,FOXA1_E,FOXA2_E,P50_NP,P52_NP,P65_NP,CREL_NP,RELB_NP,FRA1_NP,FRA2_NP,CFOS_NP,FOSB_NP,JUNB_NP,JUND_NP,CJUN_NP,Y705_NP,S727_NP,STAT3_NP,SOX2_NP,SP1_NP,GR_NP,PR_NP,CEBPB_NP,TEF1_NP,YY1_NP,NF1_NP,FOXA1_NP,FOXA2_NP
OCT,22.38354613,0.968458423,1.081131967,1.006382628,0.969881848,1.106399906,0.9693095,1.037429501,0.992146695,0.98765996,1.003965893,0.963769876,1.031365892,0.968686927,1.013587896,1.008471948,1.111936717,1.007016013,1.013169744,0.942342267,0.836867043,0.971066428,0.909366963,0.906646976,0.995162921,1.047196347,60.51610342,40.63006886,57.09796442,29.02958796,37.08990636,40.92573371,68.84928638,30.46485098,59.49651155,42.77929189,37.56607344,9.918232407,36.68686048,62.49963987,55.25203203,63.07922373,49.1395768,66.91200729,42.79729722,48.64010515,60.09225368,43.99611934,11.42256819,42.04628953,47.39941496
OCT,15.74066518,1.000904295,1.004845582,1.008306411,0.904210519,0.719977989,0.971144528,0.961551215,1.012049794,1.004405406,1.012886974,0.983941817,1.004515716,1.124703975,0.991384828,0.992096473,0.861640946,1.023308224,0.982909692,1.839572571,1.084727576,1.000289796,0.968498186,0.961713348,0.997634546,1.054216758,51.11424341,50.33537798,63.7817539,44.73138989,50.98751494,54.73768965,64.25962851,42.39641992,39.66027411,56.84762785,70.4787891,60.77288868,20.13539096,47.14812464,34.22374435,44.29420377,56.54259366,50.80307875,46.11280015,63.07501604,51.07132827,44.19347907,23.77039509,50.20525408,50.80191427
OCT,19.06210566,1.030637287,0.914022455,0.985310958,1.125907634,1.173622107,1.05954597,1.001019283,0.995803511,1.007934632,0.983147157,1.052288291,0.964118375,0.906609099,0.995027276,0.99943158,1.026422338,0.969675761,1.003920563,0.918206343,1.078405381,1.028643776,1.122134851,1.131639673,1.007202533,1,53.72450396,36.69294089,46.46504592,57.21169291,56.41934612,44.68501237,54.13254872,41.81344442,47.82131224,39.261884,58.39133699,69.57090355,31.83439016,70.04791265,39.22121369,47.98470515,55.49608867,53.55074234,43.79735659,67.71217509,68.60958795,61.98245918,66.26939061,55.05026918,43.29963379
UPCI:SCC084,3.900845869,22.22423671,7.636748946,2.074583076,2.334796341,5.698365699,2.180642254,2.956620657,2.526382826,2.449697914,1.585343954,2.254237852,2.85082211,0.851448761,0.594083711,0.598449667,1.052759914,2.995183477,0.667012935,0.545610882,0.996270415,0.615011932,1.324684516,2.879309486,0.4014761,0.382646772,63.79673342,25.91245063,50.3677149,38.05512332,54.13071082,71.10281363,21.81450833,42.72834682,66.73718266,64.42075382,65.67396312,49.33909374,60.63831026,51.90958626,44.93775851,78.60128855,73.14179343,42.7324986,53.78353939,73.35221342,45.66971516,56.0455253,90.95358561,66.89756552,62.07314076
UPCI:SCC084,4.346168025,22.66290368,8.066879699,2.22184555,2.157128559,5.371148079,2.149586951,3.175754674,2.472260764,2.526300752,1.610277509,2.309243911,2.872796095,0.885259367,0.583117927,0.60942094,0.827760617,3.017423235,0.659976662,0.746349474,0.988478659,0.621759634,1.323628657,2.892950436,0.408537841,0.370377628,65.1127326,48.92317709,49.80752661,42.37401701,32.15012131,85.18777171,45.08251395,51.38379799,68.24162733,57.13975059,75.43187463,54.50535033,56.35296151,52.55890064,39.79583108,88.65399103,60.4826632,59.63283999,58.4732134,75.29832881,55.27701955,42.95139036,90.99229917,51.91582537,53.58802038
UPCI:SCC084,4.123506947,22.82397345,7.89637195,2.079996549,2.479361546,5.683850398,2.152436336,3.064208866,2.494946307,2.53945921,1.635510813,2.196349343,2.784149994,0.912391437,0.574178226,0.611174432,0.973949094,2.980945196,0.664745783,0.739514009,0.981027725,0.632145024,1.329327104,2.844431464,0.412223246,0.352231862,55.05791773,53.19200783,51.58358933,32.81641675,53.14734047,61.1482271,53.89258156,50.72888073,80.07953901,65.67153856,69.79941187,43.35085152,25.14343258,23.13838109,47.18247366,85.43583739,64.02875732,50.47896153,52.44595485,70.10159168,72.61562365,36.68322861,90.57159855,72.02999284,49.53283188
UPCI:SCC131,35.06096406,10.80306184,4.299612777,2.118868574,1.766411782,7.707807465,1.638646951,1.654116831,0.41376654,0.69420346,1.765817146,1.835062311,1.691542207,1.024749999,0.593446727,0.703344942,1.665378916,1.055942508,0.525338446,0.429722361,0.777889458,0.820102598,0.99350786,2.635262232,0.600372803,0.637260913,97.13580301,96.95082446,41.41553768,38.6549827,70.89852917,92.91064844,76.28623984,82.86073174,41.98051152,77.81966556,97.35413198,64.74367735,66.17623004,60.60171069,87.12472719,80.00726996,68.28302115,83.02544096,58.71238436,81.19192749,67.48627178,100,93.53683126,65.72163988,56.09525952
UPCI:SCC131,32.58044904,10.8941786,4.53680598,2.173829701,1.703778272,7.177634278,1.665628284,1.822067701,0.397993286,0.713425853,1.775777623,1.879782838,1.761560754,1.081759192,0.572647197,0.724599647,1.429642976,1.083525168,0.516054125,0.66187512,0.782055524,0.833312937,0.98598933,2.634369317,0.611048305,0.614705716,74.9407754,87.12722836,50.23696577,61.87311931,63.77426558,92.10055229,91.01481978,56.31660196,87.33893292,95.76645965,91.55575076,65.41335018,65.2158601,72.44915593,84.63325928,69.46765106,73.14471015,82.60184797,70.48507787,26.92364646,57.89903899,79.45286613,99.59136559,68.53792203,48.61763978
UPCI:SCC131,33.82070655,11.04472281,4.521125338,2.101823564,1.870381357,7.624161889,1.738053956,1.774932266,0.390797768,0.720033478,1.783094868,1.780990707,1.626407524,1.084845523,0.569567197,0.715259938,1.556979877,1.083241417,0.528462575,0.65162112,0.761575154,0.862321358,1.008214607,2.564507741,0.612516252,0.592983289,92.02766089,98.60040083,49.78504243,82.67590386,68.50705849,89.3467669,95.59022582,80.37231201,69.30566257,76.73311323,91.2927521,39.46565476,77.05418675,70.20705112,77.65916387,92.09095625,66.2882283,60.80493154,65.47192547,90.18076545,55.96616281,76.39382409,95.91921144,58.7497313,60.14020141
UDSCC2,36.15349242,4.129449944,2.850266901,0.591351236,0.800816501,1.266318954,0.463164102,1.564818067,0.817344424,1.007934916,1.726543034,0.927750857,0.664397003,0.384723031,0.102942427,0.235348721,1.06377564,0.32603431,0.599527268,0.490408183,0.6554035,0.626867918,0.864505654,0.903703717,0.606965825,0.600077368,76.39723311,58.42038647,58.83396311,43.51856599,59.32852536,77.62005232,80.67115978,54.43507897,53.63062376,65.50574738,63.10936839,59.50917623,58.94818541,72.63930917,23.48589173,82.35366297,58.78604333,63.24866405,29.08167825,87.09953048,62.02708979,40.43106791,79.46564046,41.87752451,70.08871782
UDSCC2,36.82724339,4.182151736,3.00506964,0.539322193,0.723290481,1.324882907,0.459988291,1.669049163,0.779752566,1.007515154,1.723595135,0.99022917,0.670814644,0.389226298,0.10368044,0.248546913,1.03282855,0.3281075,0.588356778,0.568777946,0.647606153,0.630626592,0.865576945,1.011714662,0.620125605,0.597425077,75.72940943,30.73791096,61.09551538,52.00967123,67.02929017,93.34560465,67.25487424,55.63957881,54.33774148,77.37595787,68.19018491,18.84270504,70.07704335,65.88508468,51.39621169,78.06605303,41.6806784,57.16142668,24.12923284,84.07255877,69.16267098,53.46423254,82.49794561,31.12470817,47.57399992
UDSCC2,36.49036791,4.261573667,3.029011453,0.568950522,0.865232415,1.167767641,0.493769704,1.644869147,0.797236638,1.009261801,1.741464135,0.890547777,0.64482875,0.3889224,0.096634931,0.239141865,1.034122061,0.306314201,0.596816855,0.55280398,0.645386026,0.647168495,0.884982459,1.169364593,0.624670903,0.566991737,29.73703834,62.20953633,37.52073216,53.04877484,64.53253217,82.9867018,59.26210671,66.63836347,48.90806167,83.03313686,78.09878215,49.92472725,58.99217501,58.41164566,59.65577459,71.3865881,70.07443138,61.7066328,34.21329796,91.06137941,66.37116687,56.53198425,75.65712563,41.31737159,59.87255622
93VU147T,6.905635522,12.9692709,6.99881685,1.273588106,4.815697276,9.094390578,0.61148699,1.493993606,0.892733479,0.91334055,1.698526302,0.491845734,0.903698204,0.563791192,0.272131589,0.71797737,1.486838827,0.763690903,0.386540092,0.316186493,0.694171163,0.804322838,0.950894533,3.823484078,1.504420984,1.22385381,69.99360477,69.47710265,40.66844562,43.41846576,39.6016506,75.45965606,56.59113405,76.32830774,40.32495563,60.53118904,60.62127863,39.56128149,43.19143622,39.71706885,50.48803984,70.81710941,59.39093946,61.02007838,46.91003571,26.84898665,55.95187184,28.85907903,85.24495946,49.76528557,51.04336971
93VU147T,8.335771631,12.40276334,7.131038098,1.289617808,4.760947015,8.375309696,0.612515354,1.547428745,0.854362489,0.937873179,1.713112838,0.552663159,0.934290883,0.555400555,0.282628083,0.716901332,1.461321646,0.782290305,0.382552008,0.376717786,0.687464247,0.781299228,0.990599437,3.303190376,1.498603799,1.158629929,59.01201315,59.9050935,31.05617659,40.38496253,28.32221144,45.43202722,51.67209392,56.74364501,59.61997595,66.51636449,55.00144758,36.06288957,44.08768011,35.81558669,39.03880857,96.2956506,58.64958172,51.94197314,38.60450185,61.7173311,68.47793699,57.65526465,90.01835402,47.62028295,38.79877538
93VU147T,7.620703577,12.39158548,7.10039073,1.234015186,3.887886478,9.113593189,0.631387763,1.535170567,0.88497139,0.91686038,1.69200261,0.464767527,0.968080122,0.578138831,0.219980907,0.699354038,1.480299055,0.729696288,0.39077317,0.364804275,0.686756327,0.792047851,0.926094086,2.811222012,1.54767009,1.140409709,54.12193032,53.57855828,30.24392424,35.7116401,44.59053701,68.14395419,66.3636361,52.86833164,44.23827627,72.64807113,69.35690591,47.60803238,42.87141206,43.01735985,44.94894829,96.18585842,56.9677988,47.65211099,45.22471745,45.15003099,58.16580782,52.32026503,93.48120348,51.00703833,38.91087935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
